"","Position","Height","Playtype","Name","Rating","Team"
"1423","SF / SG","6'7""","2-Way 3-Level Scorer","George Gervin",94,"All-Time San Antonio Spurs"
"1424","SF / PF","6'7""","2-Way 3-Level Scorer","Kawhi Leonard",94,"All-Time San Antonio Spurs"
"1425","PG","6'2""","All-Around Threat","Tony Parker",94,"All-Time San Antonio Spurs"
"1426","SG","6'6""","All-Around Threat","Manu Ginobili",90,"All-Time San Antonio Spurs"
"1427","PG / SG","6'0""","2-Way Playshot","Louie Dampier",89,"All-Time San Antonio Spurs"
"1428","SF","6'9""","2-Way Inside-the-Arc Scorer","Larry Kenon",88,"All-Time San Antonio Spurs"
"1429","SF / SG","6'8""","2-Way 3-Level Scorer","Sean Elliott",87,"All-Time San Antonio Spurs"
"1430","PF / C","6'11""","Inside the Arc Glass Cleaner","LaMarcus Aldridge",86,"All-Time San Antonio Spurs"
"1431","SG","6'1""","All-Around Threat","James Silas",86,"All-Time San Antonio Spurs"
"1432","SF / SG","6'7""","2-Way Sharpshooter","Bruce Bowen",86,"All-Time San Antonio Spurs"
"1433","C","7'2""","Paint Beast","Artis Gilmore",85,"All-Time San Antonio Spurs"
"1434","PG","6'4""","2-Way Playshot","Johnny Moore",84,"All-Time San Antonio Spurs"
"1435","PG / SG","5'10""","2-Way Slashing Playmaker","Avery Johnson",82,"All-Time San Antonio Spurs"
"1436","SG","6'3""",NA,"Alvin Robertson",NA,"All-Time San Antonio Spurs"
"1437","PF / SF","6'10""","2-Way 3-Level Playmaker","Kevin Durant",96,"Phoenix Suns"
"1438","SG / PG","6'5""","Versatile Offensive Force","Devin Booker",92,"Phoenix Suns"
"1439","PG","6'0""","2-Way Playshot","Chris Paul",87,"Phoenix Suns"
"1440","C","6'11""","2-Way Inside-the-Arc Scorer","Deandre Ayton",84,"Phoenix Suns"
"1441","SF / PF","6'4""","2-Way Shooter","Josh Okogie",78,"Phoenix Suns"
"1442","SF / PF","6'8""","3-Level Scorer","T.J. Warren",77,"Phoenix Suns"
"1443","PG","6'1""","Playmaking Shot Creator","Cameron Payne",77,"Phoenix Suns"
"1444","PF","6'9""","Inside-Out Scorer","Darius Bazley",76,"Phoenix Suns"
"1445","SG / SF","6'6""","Sharpshooter","Terrence Ross",76,"Phoenix Suns"
"1446","SG / SF","6'4""","Inside-Out Scorer","Landry Shamet",75,"Phoenix Suns"
"1447","SF / PF","6'7""","2-Way Stretch Four","Torrey Craig",75,"Phoenix Suns"
"1448","C / PF","6'11""","Glass Cleaner","Jock Landale",75,"Phoenix Suns"
"1449","SG / PG","6'5""","Shooter","Damion Lee",75,"Phoenix Suns"
"1450","C","6'8""","Defensive Anchor","Bismack Biyombo",75,"Phoenix Suns"
"1451","PG","6'2""","Playmaker","Saben Lee",73,"Phoenix Suns"
"1452","SG / PG","6'5""","Stretch Four","Ish Wainright",73,"Phoenix Suns"
"1453","SF / PF","6'7""","2-Way 3-Level Scorer","Shawn Marion",87,"2002-03 Phoenix Suns"
"1454","PG","6'3""","Inside the Arc Playmaker","Stephon Marbury",85,"2002-03 Phoenix Suns"
"1455","PF / C","6'10""","Paint Beast","Amar’e Stoudemire",82,"2002-03 Phoenix Suns"
"1456","PG / SG","6'7""","2-Way Diming 3-Level Scorer","Penny Hardaway",80,"2002-03 Phoenix Suns"
"1457","SG","6'7""","3-Level Shot Creator","Joe Johnson",76,"2002-03 Phoenix Suns"
"1458","PF / SF","6'9""","Inside the Arc Scorer","Tom Gugliotta",75,"2002-03 Phoenix Suns"
"1459","PF / SF","6'8""","Paint Protector","Bo Outlaw",75,"2002-03 Phoenix Suns"
"1460","SF / SG","6'6""","Perimeter Defender","Casey Jacobsen",71,"2002-03 Phoenix Suns"
"1461","PF / C","6'10""","Paint Protector","Scott Williams",71,"2002-03 Phoenix Suns"
"1462","PG","6'2""","Perimeter Lockdown","Randy Brown",70,"2002-03 Phoenix Suns"
"1463","PG","6'3""","All-Around Threat","Steve Nash",95,"2004-05 Phoenix Suns"
"1464","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Amar’e Stoudemire",89,"2004-05 Phoenix Suns"
"1465","SF / PF","6'7""","2-Way Inside-Out Scorer","Shawn Marion",88,"2004-05 Phoenix Suns"
"1466","SG / SF","6'6""","Inside-Out Scorer","Quentin Richardson",78,"2004-05 Phoenix Suns"
"1467","SG / PG","6'3""","3-Level Shot Creator","Leandro Barbosa",77,"2004-05 Phoenix Suns"
"1468","SF","6'7""","3-Level Shot Creator","Joe Johnson",76,"2004-05 Phoenix Suns"
"1469","PF","6'10""","Stretch Four","Walter McCarty",74,"2004-05 Phoenix Suns"
"1470","C / PF","7'0""","Paint Protector","Steven Hunter",73,"2004-05 Phoenix Suns"
"1471","SG","6'6""","3PT Specialist","Jim Jackson",71,"2004-05 Phoenix Suns"
"1472","PF / SF","6'8""","Mid-Range Specialist","Bo Outlaw",70,"2004-05 Phoenix Suns"
"1473","PG","6'3""","All-Around Threat","Steve Nash",96,"All-Time Phoenix Suns"
"1474","PG / SG","6'4""","2-Way Slashing Playmaker","Dennis Johnson",94,"All-Time Phoenix Suns"
"1475","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Amar’e Stoudemire",92,"All-Time Phoenix Suns"
"1476","SF / PF","6'7""","2-Way 3-Level Scorer","Shawn Marion",91,"All-Time Phoenix Suns"
"1477","SG / SF","6'6""","2-Way 3-Level Shot Creator","Walter Davis",90,"All-Time Phoenix Suns"
"1478","PG / SG","6'4""","2-Way Slashing Playmaker","Jason Kidd",90,"All-Time Phoenix Suns"
"1479","PG","6'1""","2-Way Playshot","Kevin Johnson",89,"All-Time Phoenix Suns"
"1480","PG / SG","6'5""","2-Way Playshot","Charlie Scott",89,"All-Time Phoenix Suns"
"1481","PF / SF","6'10""","2-Way 3-Level Scorer","Tom Chambers",89,"All-Time Phoenix Suns"
"1482","SG / SF","6'5""","2-Way Sharpshooter","Dick Van Arsdale",88,"All-Time Phoenix Suns"
"1483","SG / PG","6'6""","Versatile Offensive Force","Devin Booker",88,"All-Time Phoenix Suns"
"1484","SG / SF","6'6""","2-Way Sharpshooter","Dan Majerle",88,"All-Time Phoenix Suns"
"1485","SF / PF","6'10""","2-Way Inside-the-Arc Scorer","Larry Nance",88,"All-Time Phoenix Suns"
"1486","SG / PG","6'4""","All-Around Threat","Paul Westphal",88,"All-Time Phoenix Suns"
"1487","C / PF","6'9""","2-Way Inside-the-Arc Scorer","Alvan Adams",85,"All-Time Phoenix Suns"
"1488","PF / SF","6'6""",NA,"Charles Barkley",NA,"All-Time Phoenix Suns"
"1489","PG / SG","6'6""","2-Way Playshot","Shai Gilgeous-Alexander",94,"Oklahoma City Thunder"
"1490","SG / PG","6'8""","Slashing Combo Guard","Josh Giddey",84,"Oklahoma City Thunder"
"1491","SG","6'5""","Playmaking 3-Level Scorer","Jalen Williams",82,"Oklahoma City Thunder"
"1492","SG / SF","6'4""","2-Way Shooter","Luguentz Dort",78,"Oklahoma City Thunder"
"1493","SG / SF","6'3""","Sharpshooter","Isaiah Joe",78,"Oklahoma City Thunder"
"1494","PF / C","7'1""","Defensive Anchor","Chet Holmgren",77,"Oklahoma City Thunder"
"1495","SF / PF","7'0""","Stretch Five","Aleksej Pokusevski",77,"Oklahoma City Thunder"
"1496","SF / PG","6'6""","Stretch Four","Kenrich Williams",77,"Oklahoma City Thunder"
"1497","C / PF","6'10""","Inside-Out Scorer","Dario Saric",76,"Oklahoma City Thunder"
"1498","PF","6'9""","Paint Protector","Jaylin Williams",75,"Oklahoma City Thunder"
"1499","PG / SG","6'3""","Inside the Arc Shot Creator","Tre Mann",75,"Oklahoma City Thunder"
"1500","PF","6'8""","Inside-Out Scorer","Jeremiah Robinson-Earl",75,"Oklahoma City Thunder"
"1501","SG / SF","6'5""","Inside-Out Scorer","Aaron Wiggins",74,"Oklahoma City Thunder"
"1502","SF / SG","6'6""","Shooter","Lindy Waters III",74,"Oklahoma City Thunder"
"1503","PF / C","6'9""","Lob Threat","Ousmane Dieng",73,"Oklahoma City Thunder"
"1504","SG / PG","6'3""","Interior Finisher","Jared Butler",73,"Oklahoma City Thunder"
"1505","C / PF","6'11""","Rebounder","Olivier Sarr",67,"Oklahoma City Thunder"
"1506","PG / SG","6'4""","2-Way Playshot","Gary Payton",94,"1995-96 Seattle Supersonics"
"1507","PF / C","6'10""","Paint Beast","Shawn Kemp",90,"1995-96 Seattle Supersonics"
"1508","SF / PF","6'9""","Sharpshooter","Detlef Schrempf",83,"1995-96 Seattle Supersonics"
"1509","PG / SG","6'5""","3 & D Point","Nate McMillan",80,"1995-96 Seattle Supersonics"
"1510","SG / PG","6'3""","2-Way Sharpshooter","Hersey Hawkins",78,"1995-96 Seattle Supersonics"
"1511","PF / C","6'9""","Stretch Four","Sam Perkins",77,"1995-96 Seattle Supersonics"
"1512","C / PF","6'11""","Defensive Anchor","Ervin Johnson",74,"1995-96 Seattle Supersonics"
"1513","PG","6'3""","2-Way Diming Finisher","Eric Snow",71,"1995-96 Seattle Supersonics"
"1514","SG / SF","6'5""","3PT Specialist","David Wingate",71,"1995-96 Seattle Supersonics"
"1515","SG / SF","6'6""","3PT Shooter","Vincent Askew",71,"1995-96 Seattle Supersonics"
"1516","PF / C","6'9""","Stretch Four","Frank Brickowski",69,"1995-96 Seattle Supersonics"
"1517","SF / PF","6'9""","3-Level Scoring Point Forward","Kevin Durant",96,"2011-12 Oklahoma City Thunder"
"1518","PG","6'3""","2-Way Slashing Playmaker","Russell Westbrook",90,"2011-12 Oklahoma City Thunder"
"1519","SG","6'5""","3-Level Shot Creator","James Harden",88,"2011-12 Oklahoma City Thunder"
"1520","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Serge Ibaka",88,"2011-12 Oklahoma City Thunder"
"1521","C","6'10""","Defensive Anchor","Kendrick Perkins",77,"2011-12 Oklahoma City Thunder"
"1522","PF","6'10""","Mid-Range Specialist","Nick Collison",75,"2011-12 Oklahoma City Thunder"
"1523","PG / SG","6'1""","Diming 3PT Shooter","Derek Fisher",73,"2011-12 Oklahoma City Thunder"
"1524","SG","6'5""","Sharpshooter","Daequan Cook",73,"2011-12 Oklahoma City Thunder"
"1525","PG","6'3""","Mid-Range Shot Creator","Reggie Jackson",71,"2011-12 Oklahoma City Thunder"
"1526","C","6'10""","Paint Protector","Nazr Mohammed",70,"2011-12 Oklahoma City Thunder"
"1527","SG","6'3""","3PT Shooter","Royal Ivey",69,"2011-12 Oklahoma City Thunder"
"1528","SF / PF","6'9""","All-Around Threat","Kevin Durant",97,"All-Time Oklahoma City Thunder"
"1529","PG","6'3""","2-Way Playshot","Russell Westbrook",95,"All-Time Oklahoma City Thunder"
"1530","PG / SG","6'4""","2-Way Playshot","Gary Payton",95,"All-Time Oklahoma City Thunder"
"1531","SG / SF","6'5""","All-Around Threat","Ray Allen",94,"All-Time Oklahoma City Thunder"
"1532","SF","6'9""","2-Way 3-Level Point Forward","Paul George",91,"All-Time Oklahoma City Thunder"
"1533","PG / SG","6'4""","2-Way Slashing Playmaker","Dennis Johnson",91,"All-Time Oklahoma City Thunder"
"1534","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Shawn Kemp",90,"All-Time Oklahoma City Thunder"
"1535","PF / SF","6'10""","2-Way 3-Level Scorer","Rashard Lewis",89,"All-Time Oklahoma City Thunder"
"1536","PG","6'2""","2-Way Slashing Playmaker","Gus Williams",89,"All-Time Oklahoma City Thunder"
"1537","PF","6'8""","2-Way Inside-the-Arc Scorer","Spencer Haywood",89,"All-Time Oklahoma City Thunder"
"1538","C","6'11""","2-Way Inside-the-Arc Scorer","Jack Sikma",89,"All-Time Oklahoma City Thunder"
"1539","PG / SG","6'3""","All-Around Threat","Fred Brown",88,"All-Time Oklahoma City Thunder"
"1540","SG / SG","6'7""","3-Level Scorer","Dale Ellis",88,"All-Time Oklahoma City Thunder"
"1541","SF / PF","6'9""","Sharpshooter","Detlef Schrempf",87,"All-Time Oklahoma City Thunder"
"1542","SF / PF","6'7""","2-Way Inside-the-Arc Scorer","Xavier McDaniel",87,"All-Time Oklahoma City Thunder"
"1543","SG / SF","6'4""","3-Level Shot Creator","Anthony Edwards",86,"Minnesota Timberwolves"
"1544","C","7'0""","3-Level Scorer","Karl-Anthony Towns",86,"Minnesota Timberwolves"
"1545","C","7'1""","Defensive Anchor","Rudy Gobert",84,"Minnesota Timberwolves"
"1546","PG","6'1""","2-Way Playshot","Mike Conley",80,"Minnesota Timberwolves"
"1547","C / PF","6'9""","2-Way Inside-Out Scorer","Naz Reid",80,"Minnesota Timberwolves"
"1548","PF / SF","6'9""","2-Way Sharpshooter","Jaden McDaniels",79,"Minnesota Timberwolves"
"1549","PF / SF","6'9""","Inside-Out Playmaker","Kyle Anderson",78,"Minnesota Timberwolves"
"1550","SG / PG","6'4""","Inside the Arc Scorer","Jaylen Nowell",77,"Minnesota Timberwolves"
"1551","PF / SF","6'6""","3PT Specialist","Taurean Prince",75,"Minnesota Timberwolves"
"1552","SG / PG","6'5""","Inside-Out Scorer","Nickeil Alexander-Walker",74,"Minnesota Timberwolves"
"1553","SG / PG","6'4""","2-Way Inside-Out Creator","Austin Rivers",74,"Minnesota Timberwolves"
"1554","PG / SG","6'0""","Slashing Playmaker","Jordan McLaughlin",73,"Minnesota Timberwolves"
"1555","C / PF","6'8""","Paint Protector","Nathan Knight",73,"Minnesota Timberwolves"
"1556","C / PF","6'10""","Stretch Glass Cleaner","Luka Garza",73,"Minnesota Timberwolves"
"1557","SG / SF","6'5""","3PT Shooter","Wendell Moore Jr.",71,"Minnesota Timberwolves"
"1558","SF / SG","6'6""","3PT Specialist","Matt Ryan",71,"Minnesota Timberwolves"
"1559","SF","6'8""","Scrappy Wing","Josh Minott",70,"Minnesota Timberwolves"
"1560","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Kevin Garnett",98,"2003-04 Minnesota Timberwolves"
"1561","PG / SG","6'3""","Offensive Threat","Sam Cassell",87,"2003-04 Minnesota Timberwolves"
"1562","SF","6'5""","2-Way Inside-the-Arc Scorer","Latrell Sprewell",84,"2003-04 Minnesota Timberwolves"
"1563","SF / SG","6'7""","Sharpshooter","Wally Szczerbiak",78,"2003-04 Minnesota Timberwolves"
"1564","C","7'0""","Interior Finisher","Michael Olowokandi",74,"2003-04 Minnesota Timberwolves"
"1565","SG","6'4""","Sharpshooter","Fred Hoiberg",73,"2003-04 Minnesota Timberwolves"
"1566","PF / C","6'9""","Paint Protector","Mark Madsen",72,"2003-04 Minnesota Timberwolves"
"1567","SG / SF","6'5""","Inside the Arc Scorer","Trenton Hassell",71,"2003-04 Minnesota Timberwolves"
"1568","C","6'9""","Paint Protector","Oliver Miller",70,"2003-04 Minnesota Timberwolves"
"1569","C / PF","6'8""","Paint Protector","Gary Trent",69,"2003-04 Minnesota Timberwolves"
"1570","C / PF","6'11""","Paint Protector","Ervin Johnson",69,"2003-04 Minnesota Timberwolves"
"1571","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Kevin Garnett",98,"All-Time Minnesota Timberwolves"
"1572","PF / C","6'10""","2-Way 3-Level Scorer","Kevin Love",91,"All-Time Minnesota Timberwolves"
"1573","C / PF","7'0""","3-Level Scoring Glass Cleaner","Karl-Anthony Towns",89,"All-Time Minnesota Timberwolves"
"1574","PF / SF","6'10""","2-Way 3-Level Scorer","Tom Gugliotta",88,"All-Time Minnesota Timberwolves"
"1575","PG / SG","6'3""","Offensive Threat","Sam Cassell",88,"All-Time Minnesota Timberwolves"
"1576","SG / SF","6'7""","2-Way Inside-Out Scorer","Jimmy Butler",87,"All-Time Minnesota Timberwolves"
"1577","PG","6'3""","Offensive Threat","Stephon Marbury",87,"All-Time Minnesota Timberwolves"
"1578","PG","5'11""","Versatile Offensive Force","Terrell Brandon",86,"All-Time Minnesota Timberwolves"
"1579","SG / SF","6'6""","Inside the Arc Scorer","Doug West",85,"All-Time Minnesota Timberwolves"
"1580","SF / SG","6'7""",NA,"Wally Szczerbiak",85,"All-Time Minnesota Timberwolves"
"1581","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Christian Laettner",85,"All-Time Minnesota Timberwolves"
"1582","PG","6'4""","2-Way Slashing Playmaker","Ricky Rubio",85,"All-Time Minnesota Timberwolves"
"1583","SG","6'5""","Scoring Machine","Isaiah Rider",84,"All-Time Minnesota Timberwolves"
"1584","SF / SG","6'8""","3-Level Scorer","Andrew Wiggins",83,"All-Time Minnesota Timberwolves"
"1585","SF","6'5""","2-Way 3-Level Scorer","Latrell Sprewell",83,"All-Time Minnesota Timberwolves"
"1586","PG / SG","6'2""","Versatile Offensive Force","Stephen Curry",96,"Golden State Warriors"
"1587","SG / SF","6'6""","2-Way Sharpshooter","Klay Thompson",86,"Golden State Warriors"
"1588","SG / PG","6'4""","Offensive Threat","Jordan Poole",84,"Golden State Warriors"
"1589","PF / C","6'6""","2-Way Inside-Out Playmaker","Draymond Green",83,"Golden State Warriors"
"1590","SF / SG","6'7""","2-Way 3-Level Scorer","Andrew Wiggins",82,"Golden State Warriors"
"1591","SF / PF","6'7""","3-Level Scorer","Jonathan Kuminga",78,"Golden State Warriors"
"1592","C","6'9""","Glass-Cleaning Finisher","Kevon Looney",78,"Golden State Warriors"
"1593","SG / PG","6'4""","2-Way Inside-Out Scorer","Donte DiVincenzo",77,"Golden State Warriors"
"1594","SG / PG","6'2""","2-Way Inside-Out Scorer","Gary Payton II",77,"Golden State Warriors"
"1595","PF / C","6'9""","Stretch Five","JaMychal Green",77,"Golden State Warriors"
"1596","PF / SF","6'6""","Hybrid Defender","Andre Iguodala",75,"Golden State Warriors"
"1597","PG / SG","6'5""","Playmaking Shot Creator","Ty Jerome",75,"Golden State Warriors"
"1598","SF / SG","6'5""","3-Level Scorer","Moses Moody",73,"Golden State Warriors"
"1599","SF / SG","6'6""","Inside-Out Scorer","Anthony Lamb",73,"Golden State Warriors"
"1600","SF / PF","6'9""","3PT Specialist","Patrick Baldwin Jr.",72,"Golden State Warriors"
"1601","SG / PG","6'3""","Mid-Range Shooter","Ryan Rollins",68,"Golden State Warriors"
"1602","SG","6'5""","3PT Shooter","Lester Quiñones",67,"Golden State Warriors"
"1603","SF / SG","6'7""","2-Way 3-Level Scorer","Chris Mullin",89,"1990-91 Golden State Warriors"
"1604","PG / SG","6'0""","All-Around Threat","Tim Hardaway",87,"1990-91 Golden State Warriors"
"1605","SG / SF","6'5""","3-Level Scorer","Mitch Richmond",86,"1990-91 Golden State Warriors"
"1606","SG / PG","6'5""","2-Way 3-Level Scorer","Sarunas Marciulionis",79,"1990-91 Golden State Warriors"
"1607","PF","6'9""","Breakstarter","Tyrone Hill",76,"1990-91 Golden State Warriors"
"1608","SG / SF","6'5""","Shooter","Mario Elie",74,"1990-91 Golden State Warriors"
"1609","SF / PF","6'7""","3PT Shooter","Rod Higgins",74,"1990-91 Golden State Warriors"
"1610","C / PF","7'0""","Defensive Anchor","Alton Lister",74,"1990-91 Golden State Warriors"
"1611","C","6'10""","Paint Protector","Jim Petersen",70,"1990-91 Golden State Warriors"
"1612","SG / SF","6'6""","Pass-First Two Guard","Vincent Askew",69,"1990-91 Golden State Warriors"
"1613","PF / C","6'7""","Paint Protector","Tom Tolbert",68,"1990-91 Golden State Warriors"
"1614","C / PF","7'0""","Paint Protector","Paul Mokeski",66,"1990-91 Golden State Warriors"
"1615","PG","6'3""","2-Way Slashing Playmaker","Baron Davis",89,"2006-07 Golden State Warriors"
"1616","SG","6'3""","Inside the Arc Shot Creator","Monta Ellis",82,"2006-07 Golden State Warriors"
"1617","PF / SF","6'9""","3-Level Scorer","Al Harrington",82,"2006-07 Golden State Warriors"
"1618","SG / SF","6'6""","2-Way Inside-Out Creator","Jason Richardson",81,"2006-07 Golden State Warriors"
"1619","SF","6'8""","2-Way Shooter","Stephen Jackson",81,"2006-07 Golden State Warriors"
"1620","C","7'0""","Defensive Anchor","Adonal Foyle",78,"2006-07 Golden State Warriors"
"1621","SF / PF","6'7""","3 & D Wing","Matt Barnes",76,"2006-07 Golden State Warriors"
"1622","SG / SF","6'5""","3PT Specialist","Kelenna Azubuike",73,"2006-07 Golden State Warriors"
"1623","PF","6'9""","Paint Protector","Josh Powell",70,"2006-07 Golden State Warriors"
"1624","C","7'0""","Paint Protector","Patrick O’Bryant",69,"2006-07 Golden State Warriors"
"1625","SG","6'2""",NA,"Dajuan Wagner",NA,"2006-07 Golden State Warriors"
"1626","PG","6'3""","All-Around Threat","Stephen Curry",97,"2015-16 Golden State Warriors"
"1627","SG / SF","6'7""","2-Way Sharpshooter","Klay Thompson",92,"2015-16 Golden State Warriors"
"1628","PF / C","6'7""","2-Way Face-Up Playmaker","Draymond Green",90,"2015-16 Golden State Warriors"
"1629","SF / PF","6'6""","2-Way Shooter","Andre Iguodala",82,"2015-16 Golden State Warriors"
"1630","SF / PF","6'8""","Sharpshooter","Harrison Barnes",81,"2015-16 Golden State Warriors"
"1631","C","7'0""","Defensive Anchor","Andrew Bogut",79,"2015-16 Golden State Warriors"
"1632","C","6'10""","Stretch Four","Marreese Speights",77,"2015-16 Golden State Warriors"
"1633","C","6'11""","Glass Cleaner","Festus Ezeli",76,"2015-16 Golden State Warriors"
"1634","SG","6'3""","Shooter","Leandro Barbosa",76,"2015-16 Golden State Warriors"
"1635","PG / SG","6'7""","Diming Inside the Arc Scorer","Shaun Livingston",75,"2015-16 Golden State Warriors"
"1636","SG","6'6""","3 & D Two Guard","Brandon Rush",73,"2015-16 Golden State Warriors"
"1637","C","6'11""","Paint Protector","Anderson Varejao",73,"2015-16 Golden State Warriors"
"1638","PF / C","6'9""","Paint Protector","Kevon Looney",71,"2015-16 Golden State Warriors"
"1639","SF / PF","6'9""","All-Around Threat","Kevin Durant",97,"2016-17 Golden State Warriors"
"1640","PG","6'3""","All-Around Threat","Stephen Curry",96,"2016-17 Golden State Warriors"
"1641","SG / SF","6'7""","2-Way 3-Level Scorer","Klay Thompson",92,"2016-17 Golden State Warriors"
"1642","PF / C","6'7""","2-Way Point Power Forward","Draymond Green",87,"2016-17 Golden State Warriors"
"1643","SF / PF","6'6""","2-Way Face-Up Playmaker","Andre Iguodala",80,"2016-17 Golden State Warriors"
"1644","C","7'0""","Paint Beast","JaVale McGee",78,"2016-17 Golden State Warriors"
"1645","PF","6'9""","2-Way Inside-the-Arc Scorer","David West",77,"2016-17 Golden State Warriors"
"1646","C","6'11""","Defensive Anchor","Zaza Pachulia",77,"2016-17 Golden State Warriors"
"1647","PF / C","6'9""","Glass Cleaner","Kevon Looney",75,"2016-17 Golden State Warriors"
"1648","PG / SG","6'7""","Inside-Out Scorer","Shaun Livingston",74,"2016-17 Golden State Warriors"
"1649","SF / PF","6'7""","3PT Shooter","Matt Barnes",74,"2016-17 Golden State Warriors"
"1650","C","6'11""","Interior Finisher","Damian Jones",73,"2016-17 Golden State Warriors"
"1651","C / PF","7'1""","Paint Beast","Wilt Chamberlain",98,"All-Time Golden State Warriors"
"1652","SF / PF","6'9""","All-Around Threat","Kevin Durant",97,"All-Time Golden State Warriors"
"1653","PG","6'3""","All-Around Threat","Stephen Curry",97,"All-Time Golden State Warriors"
"1654","SF / PF","6'7""","2-Way 3-Level Point Forward","Rick Barry",95,"All-Time Golden State Warriors"
"1655","SF / SG","6'7""","2-Way Diming 3-Level Scorer","Chris Mullin",94,"All-Time Golden State Warriors"
"1656","C","6'11""","Paint Beast","Nate Thurmond",92,"All-Time Golden State Warriors"
"1657","SF / SG","6'3""","2-Way 3-Level Scorer","Paul Arizin",91,"All-Time Golden State Warriors"
"1658","SG / SF","6'7""","2-Way Sharpshooter","Klay Thompson",91,"All-Time Golden State Warriors"
"1659","PG","6'3""","2-Way Slashing Playmaker","Baron Davis",91,"All-Time Golden State Warriors"
"1660","PG / SG","6'0""","All-Around Threat","Tim Hardaway",90,"All-Time Golden State Warriors"
"1661","PF / C","6'7""",NA,"Draymond Green",89,"All-Time Golden State Warriors"
"1662","PG / SG","6'3""","Versatile Offensive Force","Sleepy Floyd",88,"All-Time Golden State Warriors"
"1663","SG / SF","6'6""",NA,"Jason Richardson",87,"All-Time Golden State Warriors"
"1664","SF / SG","6'7""","3-Level Scorer","Purvis Short",86,"All-Time Golden State Warriors"
"1665","SF / PF","6'6""","2-Way Inside-Out Point Forward","Andre Iguodala",84,"All-Time Golden State Warriors"
"1666","SG / PG","6'4""","Offensive Threat","Bradley Beal",87,"Washington Wizards"
"1667","C / PF","7'3""","2-Way 3-Level Scorer","Kristaps Porzingis",87,"Washington Wizards"
"1668","SF / PF","6'9""","Inside-Out Playmaker","Kyle Kuzma",83,"Washington Wizards"
"1669","PG / SG","6'2""","Playmaking Shot Creator","Monte Morris",79,"Washington Wizards"
"1670","SF / SG","6'6""","Sharpshooter","Corey Kispert",78,"Washington Wizards"
"1671","PG / SG","6'5""","2-Way Inside-Out Playmaker","Delon Wright",78,"Washington Wizards"
"1672","C","6'10""","Interior Finisher","Daniel Gafford",77,"Washington Wizards"
"1673","SF / PF","6'9""","Hybrid Defender","Deni Avdija",76,"Washington Wizards"
"1674","PG / SG","6'3""","3-Level Scorer","Kendrick Nunn",75,"Washington Wizards"
"1675","SG / PG","6'3""","Inside-Out Scorer","Jordan Goodwin",74,"Washington Wizards"
"1676","C","6'9""","Inside the Arc Scorer","Taj Gibson",73,"Washington Wizards"
"1677","SG","6'4""","Mid-Range Shooter","Johnny Davis",72,"Washington Wizards"
"1678","PF","6'8""","Interior Finisher","Anthony Gill",72,"Washington Wizards"
"1679","SF / PF","6'8""","Hybrid Defender","Xavier Cooks",71,"Washington Wizards"
"1680","PF","6'9""","Lob Threat","Isaiah Todd",70,"Washington Wizards"
"1681","SG / PG","6'5""","Perimeter Defender","Quenton Jackson",68,"Washington Wizards"
"1682","C","7'1""","Stretch Five","Jay Huff",67,"Washington Wizards"
"1683","PG / SG","6'3""","2-Way Playshot","Gilbert Arenas",91,"2006-07 Washington Wizards"
"1684","PF / C","6'9""","2-Way 3-Level Scorer","Antawn Jamison",87,"2006-07 Washington Wizards"
"1685","SF","6'7""","2-Way Inside-the-Arc Scorer","Caron Butler",86,"2006-07 Washington Wizards"
"1686","C","7'0""","Defensive Anchor","Brendan Haywood",79,"2006-07 Washington Wizards"
"1687","SG / PG","6'4""","2-Way Inside-the-Arc Maestro","Antonio Daniels",78,"2006-07 Washington Wizards"
"1688","C","6'11""","Defensive Anchor","Etan Thomas",78,"2006-07 Washington Wizards"
"1689","SF","6'7""","2-Way Sharpshooter","DeShawn Stevenson",76,"2006-07 Washington Wizards"
"1690","SF","6'7""","Inside-Out Scorer","Jarvis Hayes",72,"2006-07 Washington Wizards"
"1691","SG","6'5""","3PT Shooter","Roger Mason",71,"2006-07 Washington Wizards"
"1692","PF / C","6'9""","Paint Beast","Elvin Hayes",94,"All-Time Washington Wizards"
"1693","C / PF","6'7""","2-Way Diming 3-Level Scorer","Wes Unseld",94,"All-Time Washington Wizards"
"1694","PG / SG","6'3""","All-Around Threat","Gilbert Arenas",93,"All-Time Washington Wizards"
"1695","PG","6'4""","2-Way Playshot","John Wall",90,"All-Time Washington Wizards"
"1696","PG / SG","6'3""","2-Way Playshot","Earl Monroe",89,"All-Time Washington Wizards"
"1697","C / PF","6'10""","Paint Beast","Moses Malone",89,"All-Time Washington Wizards"
"1698","SG / SF","6'5""","Versatile Offensive Force","Bradley Beal",89,"All-Time Washington Wizards"
"1699","SG / PG","6'3""","All-Around Threat","Phil Chenier",88,"All-Time Washington Wizards"
"1700","SF","6'7""","2-Way 3-Level Scorer","Caron Butler",88,"All-Time Washington Wizards"
"1701","PF / C","6'9""","2-Way 3-Level Scorer","Chris Webber",87,"All-Time Washington Wizards"
